1,Xbox One X,Gaming,549.00,589
2,TCL 55R617 55in UHD HDR TV,Electronics,628.99,182
3,DJI Mavic Air Fly More Combo,Photography,892.00,8
4,LEGO Star Wars Slave 1 75060,Toys,249.99,43
5,Microsoft Xbox One Elite Wireless controller,Gaming,159.99,879
6,Red Dead Redemption 2 (xbox one),Gaming,59.99,456
7,2018 New Jeep Wrangler JL 4-Door All Weather Floor Mats,Automotive,115.25,52
8,SteelSeries Rival 650 Quantum Wireless Gaming Mouse,Computer Accessories,114.99,987
9,HyperX Cloud II Gaming Headset - 7.1 Surround Sound,Gaming,98.97,201
10,Merax PP033082JAA Gaming Chair,Gaming,189.99,73
